"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 30 09:23:25 CST 2021","Wed Jun 30 09:23:48 CST 2021","23234","appium_script","appium_test","TestAppium","","","test_01[test_config1]","测试脚本运行报告"
"passed","Wed Jun 30 09:23:25 CST 2021","Wed Jun 30 09:23:48 CST 2021","23072","appium_script","appium_test","TestAppium","","","test_01[test_config0]","测试脚本运行报告"
